The New Fish|Kjetil Ostli|4.81 nonfiction nature farmed-fish
They Called Me a Lioness: A Palestinian Girl's Fight for Freedom|Ahed Tamimi|4.71 memoir nonfiction Palestine
The Nightingale|Kristin Hannah|4.62 historical WWII occupied France
A Little Devil in America|Hanif Abdurraqib|4.61 nonfiction history music Black
They Can't Kill Us Until They Kill Us|Hanif Abdurraqib|4.57 nonfiction memoir essays
Collected Fictions|Jorge Luis Borges|4.57 short-stories Argentina magical-realism
The Spirit Bares Its Teeth|Andrew Joseph White|4.56 horror sci-fi LGBT fantasy historical YA
Braiding Sweetgrass|Robin Wall Kimmerer|4.54 nonfiction essays nature science indigenous
The Reformatory|Tananarive Due|4.52 horror historical
As Long as the Lemon Trees Grow|Zoulfa Katouh|4.52 Syria unread-country YA
All My Rage|Sabaa Tahir|4.52 Pakistan YA California
How to Say Babylon|Safiya Sinclair|4.49 memoir nonfiction feminism
I'm Glad My Mom Died|Jennette McCurdy|4.47 memoir nonfiction
To Be a Friend Is Fatal: The Fight to Save the Iraqis America Left Behind|Kirk Wallace Johnson|4.45 nonfiction history politics
Crossings|Ben Goldfarb|4.45 nonfiction nature science roads
A Little Hatred|Joe Abercrombie|4.45 fantasy
The Essential Neruda|Pablo Neruda|4.43 Chile Nobel poetry unread-country
Madonna in a Fur Coat|Sabahattin Ali|4.42 Turkey romance
Arch of Triumph|Erich Maria Remarque|4.42 historical literary 1939-refugee-in-Paris
Where I'm Calling From|Raymond Carver|4.41 short-stories literary
Betty|Tiffany McDaniel|4.41 historical literary Appalachians
Going Postal|Terry Pratchett|4.40 fantasy humor discworld-33
A Day of Fallen Night|Samantha Shannon|4.39 fantasy LGBT U.K.
Take My Hand|Dolen Perkins-Valdez|4.38 historical literary Black 1973-Alabama
A Bond Undone|Jin Yong|4.38 China fantasy historical
Warrior Girl Unearthed|Angeline Boulley|4.36 YA mystery thriller indigenous
The Power of the Dog|Don Winslow|4.36 crime mystery thriller drug-trade
The Cartel|Don Winslow|4.35 crime mystery thriller 2004-drugs
The Conquering Sword of Conan|Robert E. Howard|4.34 fantasy sequel-3
Humankind: A Hopeful History|Rutger Bregman|4.33 nonfiction history philosophy psychology
